sentimen,Tweet
1,crush dah tunjuk true colours aku blah
0,jare kiri dewe aku yas hmm
0,sudut pandang aku ipt tempat kau benar buat silap pensyarah bayar dengar ide
1,bila aku sedih aku selalu ingat ayat takpa lahh allah sayang kau uji kau macam macam dug
0,aku pake innisfree
0,tipe hina gap berangkat sekolah sama nomin aku give away pulsa 50k buat orang kapal ber
0,aku xkan kompromi mana2 agut perompak celaka depa
0,siang kamu kali ditemenin intermezzo nanti jam yaa jedasiangerenity
0,thread fakta nero pimpin kejam roma salah satu sejarah paling aku sukaelain ungkap kejam
-1,aahshshahaha aku tgh mrh pihak bertanggungjawab
0,anon kata solat masih buat dosa nobody normalising things here sure everybody knows whats haram
-1,tak perlu kot video call nak buat apa sangat video call nak tatap apa juling tak payah nak contact
0,for tak kisah kalau orang nak letak gambar sendiri wallpaper salah satu cara nak gain
-1,astagfirullah maaf aku ketawa
1,wkwkwkw yaallah derp pis gpp anw amiiiin thank you and goodluck
-1,kamu sebelas aku duabelas kamu gak jelas aku lepas
-1,tak sure rasa kot aku taktahu
-1,hahaha sedih kan nak tunggu aku cantik mcm artis minat cmne baru nak pandang aku
0,hallo iya aku indonesia ketemu pens kakak penantiancintaeps19
0,pening aku
0,giveaway ale rangka ultahnya kim namjoon aku mau ngerayain giveaway album bts rules
-1,kamu agresif nder
0,mimpi buruk datang setan mimpi baik dtg drpd tuhan aku mimpi siapa
1,iyaa aku percaya kamu udh gede hun iyaa
1,hahahaha
0,sure halo aku darah murni nih
1,perlu khawatir apa jadi besokelama kamu tahu cara doa semua akan baik baik
1,aku cintaalim 45alim lovers
-1,apa sial aku buat
-1,benci kerje gan orang tkleh tolak ansur kerja gan bangsa kadang buat aku brehenti kerje
1,hari aku tak tunda lagiemakin aku tunda makin aku galau guna anak muda cepat
0,giveaway aku ada rezekiama lagieneng aku mau ngadain pulsa all operator 100k buat orangyarat
1,org lebih mampu target rumah murah org brapa mampu nak duduk target rumah murah yes part
1,haloo baca aku makasih
1,lah klau tunang aku ttbe senyap aku rasa salah hahaha
-1,aku stress sjskjsksjsksjsjsks
-1,tak pernah aku rse mcm
0,beliau emang dulu suka becanda sama kalo cocok emang sama suka nyeletuk kok beliau nyelet
1,bgsd aku ngakak
0,aku pesan siapa teady bear patung rumah buang malaikat enggan masuk rumah patung bila malaik
-1,idm aloha mutualan yuk mulfan yah idn aku
0,smoke alas nak release tension aku bodoh teruk banyak cara kot
0,psim kamu tidakendiri boys tour
1,baik selalu sayang sama aku juga punya segala yah tipe tipe pangeran gitu lah
1,hahahaha aku malah demen ginian tembak2 perang gitu
0,aku teh kurang suka minum air putih kalo tempat jajan rasa suka beda beda
1,lutchuuuuu sayang sayang aku
0,gaa aku suka kang daniel
1,hidup bukan melulu hal besar banyak sosok inspiratif jauh highlight sisa hidup aku tem
0,aku nak jumpa hmm
0,assalamualaikkum baca kisah dasar kisah benar aku alami tahun 2004 lokasi buah taman diu
1,krn butuh istri cuma sandang pangan papan doang kalo kamu cinta istri kamu hrs penuh butuh sekund
1,hai kak pantau terus media sosial shopee notifikasi akunhopee kamu keseruanhopee kak
0,thread asli bawah aku cuma mau jelas orang orang tahu thaad selesai
0,pls ideal cut indonesia fanuppo yang datang konser ideal cutvt indonesia aku bagi
-1,lawa tak macam aku kau nak tahu tak apa hidup kalau asyik banding banding kau takk
0,top super40era haaaa tepokkkk 1ampai bila tak pernah hilang amp
1,orang memang hak nilai diri tau siapa diri ingat kamu hak tuk tak peduli denga
0,wisata mah depok kaga apa coba kebon gitu kalo lin
-1,yaudah aku unfoll oppa
1,iyosee jadi ginting menang krna faktor tuan rumah aku liat reviewnya kento google apik bgt wkwk
1,hahaha terbang sana mcmn nnt aku tgk setia alam punya
0,aku aku gabisa
0,orang diam diam ubi isi aku pulak diam diam perut isi
0,aku rasa kalau aku tak hisap rokok mesti aku main bola sama mcm
-1,kasihan banget umat jadi bodoh begini mental rusak ajar agama tidak benareba
0,korang buat lah apa korang buat aku dah tak kisah
0,minum bukan anak umur pesan minum bapak2 wkwkw contoh starbak aku pesan black tea
1,aku memang punya mobil bisa teduh hujan aku punya amer bisa hangat saat
0,aku tkprnh dia tdr dlm bilik aku lepastu tula naik kepala
-1,wahai junior junior diam babi aku tengah focus nak jawab soal trial kau sibuk nak pekak pastu kalau lalu tepi kela
0,margaret thatcher bilang meski aku jalan atas air tetap mereka kata tak renang
0,giveaway aku janji kalo dapet tiket sos karena hari hari han jisung jadi kita rayakann
1,ayo jangan patah semangat aku jadi ikut baca2 sukses instal homescapes
0,sama kaya aku feelingnya kuat ibu sama mungkin ibu tau aku mau beli slogan jadi kemarin ibu
0,memang aku hari2 ngadap dah bosan
0,aku susul lama
0,jawab tanya kamu terima kasih utk pertanyaannyaemoga manfaat kiaara
0,uang 100 ribu dapet cabe cabe rasa bawang
0,acc aku aja gapapa
0,naha aku
0,han tuah dtg lepak the future nilah jadi
1,niece bang long dekat ajar apa islamic accounting niece ohh kira tasbih laa hahahahahan
0,ketuk aku ketuk aku
0,darren aku mau minta
-1,aku turn off kalau lelaki pergi clubbing hshshshshshsh
0,oke aku yupi hai teman seperseulminq wkwkwk
0,woi jom the nun anjir tul aku dok tgk
-1,dulu aku nmpak aku pling cantik bila dah start kerja tuhan ramai nya cantik dri aku trash htt
0,giveaway pulsa dua orang aja gausah follow gapapa flop bodo yang pentingesuai janji kiw close tgl
1,yuk gabung grup goyanghopee aku bonus koin hingga 100 main sama grup
-1,nak betul apa dah hancur mustahil aku aku tak dendam aku tak terima lupa
-1,certain girls only wants you when she trouble bila dah senang lupa ignores you lots excuses actively con
0,submit pdf instead pptx okay kan bukan apa aku risau convert pptx miss takboleh nak read
-1,kesi lelaki
-1,huum bukan ajaa beeb aku kudu akhir aku mulai beee
-1,bukan nak cakap apa lah tolong lah tutup aurat aku lelaki malu bila tengok lelaki yang macam ing
1,aku list kan cafe cafe tarik aku dah pegi area bang this thread
0,halooo jadi karna aku udah janji kalo dapet tiket spotify stage bakal giveaway liptint aku mau giveaway liptint tonymoly
0,nah klo gin baru ibu camat jeles tingkat negara aku cinta jendral mungkin wefie batako
0,aku kalau makan dekat sini mesti tambah nasi haha sup amp sambal mmg power nasi kerabu rm3 nasi ayam penyet rm7
1,aku memang mudah hibur
-1,kalau tak dah utk sayang aku macam takpela tak suka ttbe tak tegur ttbe marah
1,percaya komen gmbr sendiri komen bukan aku hahahahahahahha
0,aku baru tau polaroidku kemarin cuma nge pas margin pagenya kecil
-1,gatau aku orang creditnya
-1,tak sekarang aku baru langgan data baru dah slow jugak niiiiiiii adoiiii
1,aku maw kok
1,kau sesal tak kenal aku tak semua kenal ada hikmah utk baik baik orang
0,jaga umi hospital pastu jaga atok pulakemoga allah berkat segala urus aku
-1,malu aku tak pro
1,kak dwita udah kenal lama akhir aku tau nggak cuma manggil sayang aku lebih dulu
0,alam member aku masa sekolah cikgu perlekehkan cita cita sampai sekarang asa cikgu dekat lua
0,malam makwe kelam kelibut naik tangga siap luru masuk rumah igt aku ikut butoh rumah sewa aku depan
1,aku banget ketemu mantan pasma aku minta lamar langsung eeh lgsg pulang kampung lamar
0,lepas buka pintu orang dia tak cakap thanks
1,wkwkwk bener ntar pas kenal seko nama kamu siapa jeno loh kok sama kayak mama
1,aduh aku deg degan sekaliiii
0,kalau aku jumpa amelia dgn bala mmg aku tumbok dorg
1,rlt mutualan gamasalah aku suka sama twt receh aku tapi follback kalo ngga maapin
1,aku nyata bodoh kawan
0,see bukan aku sorang aku dah cakap dah aku tak bodoh kadang bila situation macam
-1,tadi aku nampak pasang mesra shell gila apa patut mesra kat petronas
-1,aku gak balas dendam padahal
0,aku dar satu benda twitter aku cam pandang masa depan
0,guys aku rasa macam nak cerita pasal hamba allah lahir normal person sejak tahun lepas cac
-1,aku kangennnnnnnn
0,iiihhh kok kamu tau sih kamu mantan temennya
1,alhamdullilah cuti hari tkde homework akhir aku study dgn aman pijik harini buat smlm
-1,senyumin aja semuanyaa ampe gel
0,lupa kejap lepas pt3 aku ingat balik okey
1,hai orang2 iman apabila seru tunai shalat jumat galah kamu ingat allah tinggalka
0,kena pergi world economy forum mana menteri ekonomi least menteri wang kan
1,hahahahaha iya aku inget kok
0,aku mkn lama hari
-1,chilli level 100 waktu makan aku dah mula fikir harta aku nak wasiat siapa pedas sambal boleh baw
0,orang umum tuh bilang ngapain sih kamu koreaan mulu liat aku neng terus kali padahal pas aku
0,iya sekarang aku butuh
1,bkn tunjuk baikk aku byk juge laku dosa sekurang2 nye cube kurang dosa jomjumaat
-1,aku sedih lah first time customer request camni
0,gatau aku pakenya madu asli hehehe
0,bukan kolej sekolah pon macam tuhh
0,aku kumpul rm100 beli emas saiz kecik agak2 deret tukar bentuk cincin gelang tap
0,kamu pgn ikut bikin cerita crazyrichsurabayan
-1,lepas buka pintu orang dia tak cakap thanks
0,instagram facebok twitter cantik depan depan takde cantik mana bagitahu akuekarangiapa nak upl
0,aku ajah
1,hahahahahahahahah babi
0,sini beli sama aku zoee
-1,gak mau kamu baw
1,nak aku viralkan tak hahahaha
-1,aku mah wktu kecil doyan mainin asap rokok klo ngerokok asap tangkep2in kyak org bego smpe kena marah
-1,aku dok tengok online malas nak cakap aku kena balik
1,dear someone truly care and love aku tak luah aku takut kalau rasa hati tak sama aku percaya dgn
-1,kata gabut bosan dasar kamu
1,ajak aku
0,kamu udah bilang bapak aku mau rumah
1,aeri followan yuu masalah aku mulfan hehe
0,ayo yoongi ngaku gak kamuwami dya
0,bener banget nih kalo milih ayah ibu pasti nyaranin aku bawa adik kakak dongg
-1,tengok harga iphone baru nampaknya cinta hanya 8plus sahaja aku tak mampu jadi bodoh
1,mbk lia banyak cinta kuliah advokat sukses love you more mbk
-1,ikut aku gamau tinggal
0,aku kalo kelas mulai jam gin
1,enak aja dong alis aku lebih bagus
-1,orang ganteng wangi parfum botol cute malu asik ngebosenin ngetik kamu
-1,udah kek orang depresi ngerjain codingan pagi ampe malem pas keluar kamar dibilangin tidoor mulu kamar aku
1,aku kangen
1,effort mula relay bila bilaetia ambik berat sayang jaga batas terima baik buruk aku
0,iya ken kepo2 makanya ken banyakin mutuals ikonic hehe aku gampang oleng nihekarang aja oleng hanbin huhuhu
-1,mesti ckp kat mak aku bdn sakit sakit tdr atas lantai
1,wkwkwkwkw
-1,can relate aku jelata
1,crushhh akin nalang hello pang sayra lang aku kaya pass hehehe
0,nnti senin yah aku update hehe kmren salah lama sampenya
-1,baru peras sejak bila aku punya kurang ajar masuk rumah tak salam maybe hati tengah panas kot
0,yatapi kalau bapak negara aku bayang sih gimana aku lewatin usia atas baik baik tsai
0,awek tegur aku panggil aku victor kan bagus kalau panggil aku victory
-1,sekolah tak payah cinta sekarang nak spm dah nnti masuk ramai pilih tak payah kejar sangat cinta kej
-1,halah malas aku
-1,allah jantung aku drop kejap tengok gambar
0,aku udah ulang beberapa kali video detik detik akan mayat ken nyebur
0,kamu berani enggak bung tinggal popularitas
1,aku dah kata aku takleh tengok drama korea hahahahahahahaha wtf sweet terok
0,tumpahin sini sayang trus aku jilat kepala konti kamu
-1,ahhh kau sombong dgn aku
0,benda simple jadi raja lepas mei menteri wang paling bangang sejarah malaysia banding
0,aku softstan
0,kata baik giziagala sen beliau kata sate kamu abisin yah mas kenyang
0,nih aku mam seblak
-1,kemarin2 males nonton yah meski aku soel meski drama high rating aku agak2 percaya kalo cer
0,siksik tak tanya kamu sapaaaaaaaaaa wkwk
0,buah oren ploles kulit muka aku sial
1,bila nak macamni hahaha
0,alhamdulillah traktir aku bakso nder
-1,tengah orang baru kenal orang orang nggak bikin nyaman aku introvert rasa pengin cepet pulang
0,arghhhh sedap sial aku cam please
1,cinta aku apa ada bukan apa bego vscofilter vscosimple vsco vscoedit vscoindonesia
1,takapalah mungkin aku tak rezeki hal
0,iyaa aku mikirnya gitu kaa awal mau aku coba buka dalem mikir kalau rusak total aku mana
1,weh sumpah siapa jumpa kad matrik aku taknak buat baru
1,aku tak rasa aku macam hahahah
1,even inmydreams kak satu doang foto wkwkwkwk biasa edit kaistal hun seu
0,mesin jalan ampun demo nunggu komandan
-1,kuliah siang ngerasa kesel banget naha sih cuma sekali lantas salah saya teh apa mud
0,siap private jet aku siap
0,keburu kenyang aku yin
1,happy birthday base traktir aku eskrim dong
0,visualisasi pakai begini maaf yah mau aku konsumsi sendiri ajah
0,dekat shopee jual perhati tak kalau aku nak beli
0,hai aku sedia servis printing kad kahwin area johor bahru melaka danenawang kalau luar kawasan diuru
-1,sedih aku ken beli buku mojok duit segera cukup
0,aku pake wardaah mau nyoba punya emina
1,ihh aku mah sini terus gak kemana2
0,nnt pas kesana wajib beli mala aku tau berapa kali lebih pedes biasa pst bibir
0,aku sini
-1,aku gak mungkin libat twitwar
0,aku tgk survey camp sem pegi best mcm tak tau realitinye nebb pensyarah kata part naik
-1,memang awal kau tak percaya aku apa klako
0,kok akuih kak
-1,aku menang
0,aku twitter bacod sungguh aku diam
-1,gaada bisa aku isengin terus galaque kaya gin
0,malu sama ketiak kamu hitam punya cream ajaib impo thailand mau 2232ba5f 082240585812
1,meme yuk main yuk aku dong baik
-1,coba kamu temen temenmu siapa suara tawa paling kenceng percaya dia jerit hati
-1,nyata aku tipu wkwk
-1,benda aku rasa tak perlu nak bawak gurau rupa paras bentuk badan insecurities contoh gagap pas
1,mau bubeks mau
-1,tiap hari ketemu kamu pun kangen
0,tiap hari jumaat mesti aku makan sorang bukan takat jumaat hari biasa kadang aku makan sorangebabnya off
0,hang takleh macam yat kami semua dah habis takdak dekat sini dah reem2018 ytjt time cakap macam
-1,yey phone elok mujur tmpt lebih fuh kalau layang duit aku
0,nikah sama tau aku temen kelas belah
-1,gua taklek junior tarik tangan omg ingat aku tak jumpa sesape
-1,halo haters sadar benci justru kamu rasa hidup tak lebih tarik hidup orang benci
0,aku gamau tau aku mau paling gede
0,tulis dua kalo 65k doang olah kamu untung 65k padahal real kan kamu cuma punya untun
0,aku sini
1,open yaa beb mau manja2an malem bisa aku yaaa bojakarta bisyar bispak bisyarlampung bispaklampung
0,kalau aku main yelling game mesti jiran ingat aku tengah kena sawan babi
0,kamu mau ngodein apa coba sampein sini
1,aku rasa aku power hahahahaha
0,maaf kamu aku bub
0,maaf kemarin aku dapet emas asi games jadi bebas wamil
0,aku tak kesah sapa jadi presiden uiam walaupun dah habis blaja kat situ aku still tak terima orang luar semak
1,okay attention doktor report free from cancer tak sia2 aku doa jaga makan the healthy activity and
0,lepet rambut irenge wonpil aku mak
1,jangan pernah bohongin asa kalo emang sayang pertahanin amp perjuangin bukti kalo kamu pantas buat
-1,kalau kamu punya anak lalu mau ikut sok ceramah propaganda soal anti vaksin let tell you one thing
-1,aku taktaulah tuju dekatapa but after read crying rindu sakit takleh nak luah bcs thing
-1,dia kamu cinta tinggal orang kering air mata kamu tahu kamu pantas dapat lebih baik
1,jgn pernah ngerasa layak pantes kmu hak dapat cinta org kmu ingin org baik buat kmu kamu layak
-1,iyaa aku tikung aaaa
-1,bodo lagi limit sama sensi gue undang buat dateng ditungguin pokok dateng belakang gapapa
-1,jangan banyak mikirin aku nun jadi pusing kan
0,95z udah tahun kenal jaman ketemu siliters sekarang awet jadi temen aku janga
0,anti aging novage tahu kamu kalau tua dini hal paling takut kamu salah satun
-1,jangan anggap aku enggak ngei apa apa hue ommaaaaaaa
-1,aku mulfan sakit hati baca jangan nyudutin fandom juga semua gitu
1,aku lanjur jatuh cinta sama kazu uwu
1,hahaha aku pernah kawan berpurdaheminggu sekali kot basuh baju mandi hari sekali baju sem
-1,allah berat duga kau beri pade mak aku lepas satu2 duga dye trpkse hadap
0,bro islam wife wives come first then your children then baru your parents that why anak anak jangan tertido
0,quran the answer for everything that happens this world masuk alam semesta gimanaetiap masala
1,aku suka kau bang
1,mini giveaway alhamdulillah aku terima mpk seko terus beberapa hari lalu aku ulang tahun jad
0,bukan akun fake yah asli testi amanah jangan basa basi aku blok open buat hari say promo lag
-1,hiiiiiiih aku rindu kamu
0,handbag mesti wet tissue sanitizer compac powder lipstick purse handphone powerbank makeup brush
1,nah aku tuju mba biar kapasitas otak calon pimpin uji
-1,banyak aku ngerti twitnya
0,nama hotel nder aku study tour jogja
0,bila diam terus kena label sombongebenarnya aku tak sombong just malu and the same time aku jaga adab
0,gimana aku mau les nggak megang uang
1,suka tak suka aku aku kesah positif kau siapa
-1,percaya balik kata aku ikhlas kok air mata tak bendung tau gak woy
-1,harus kamu liat sisi buruk dong wkkwkw
0,aku asinin chloe
-1,tak faham betul aku
0,kak nia aku ikut
-1,kamu minta banget dikasarin beybi
0,baca
-1,hahahahaha aku tak faham weh
0,sambut aku dut
-1,benda paling bodoh aku pernah buat sayang orang tak sayang kat aku
0,tadi kan aku kerja kelompok gitu ceritanyaama anak multi fakultas anak hukum sangat uwu duduk depan aku
-1,and lastly mak aku fed dah tak buat sarap dah lapar cari sendiri geledah almari tengok makan
-1,saat tiba sedih jadi tawa perih jadi cerita kenang jadi guru rindu menja
0,aku lah kacang tuuu
0,hiiii rachel met siang venusmagazine aku request lagu bcl judulnyaun
0,anak siapa sesat halo apakah kamu sesat tanya sembari menyajajarkan
0,saat pakai bhsa indonesia lalu bahas istilah2 jarang pakai aku udah bingung
-1,soya paling jahat kot
0,kudung lipstik dulu ded siapa tahu dikirimin tiket
0,akuiap2 paham setengah2 mas nek ngene carane
1,apa jadi komunikasi pasang apa kamu rasa pasang juga bantu cari
0,aku mau hetalia
-1,kesi aku tengok lge hehe tabah nak compare buat prestasi may 2018 sekarang january
0,allah best sungguh tdi ddk sebar crush masa baca yassin tdi bila abis baca cium yassin ras
-1,jap jap aku rasa benda salah bila dlm relationship semua nak salah lelaki apa perempuan mak
-1,tega kamu maymunah
-1,aku henti keluh saat itu aku henti peduli hubung dan henti cinta
1,okay aku dah faham situasi benar old man masuk toilet perempuan toilet laki kunci and the guy ketuk
0,kan jadi semua nyata bukan cuma khayal semataabar aku usaha dapat kamu kasih
1,aku pilih islam aku percaya islam aku percaya sama janji allah udh tulis dlm qur
0,definisi cemburu kamu apa ekspresi takut hilang
1,aaaaa sayang sayaaang terimakasih ucap hwdnya simpan buat tahun depan yaa aku dah mati kok gabisa buka
0,aku dateng sama jjh
0,dieminar relationship blueprint kamu pasang ajar kerja sama bangun sepakat kompromi hubung
0,aku cuba sabar kau bila aku dah penat sorry lah
1,kanan kiri depan belakang kamu ganteng
-1,gapapa lumayan yang asa pentas tabok quq aku ken mager transportnya heh
0,untuk tuan kata bunuh puisi coba tuan bila engkau hasil tusuk hingga palung
0,dear kaum hawa ciri apa anda suka aku tanya hawa jantan jangan komen hahaha
0,aku baca smbil nyanyi hermm
-1,malu gue tuh
-1,aku gak suka panas makanya aku datang sini pagi pagi usui takumi
0,thread kamu kuliah baru lulus cari kerja cara paling ampuh mulai segala aat kam
-1,dah curang satu lepastu nak salah laki pulak lagi geram pulak aku
1,kamu cinta orang rani diri tuk ungkap tidak rani diri tuk lihat cinta orang
0,samau telanjang penting kamu cewe ibu janda istri orga mau kasih telanjang sama kamu
-1,abah aku tinggal cancer lidah amp course rokokiksa tahan sakit tengok nang goodl
0,biar bapak ibu pergi aku tinggal bumi milih salah satu
0,bila nak pulang duit aku tuuuwww
-1,aku diam bukan arti aku ingin marah saja aku bisa rasa amarah skalipun tatsuya
1,salah satu aku suka buku buku lama ialah lenggok bahasa terjemah mechanics ialah kajidayaama per
0,yuk gabung grup goyanghopee aku bonus koin hingga 100 main sama grup
0,kalo aku ambil sklian woonie nya gmn
0,tolong exam osce lepas tayah soal arah panjang2 dah nervous tak baca soal dah aku tgok
0,pandang aku hubung sains amp agama adalah bebenang
0,eike utang nya segera bayar kan kemarin ente makan2 xxx temen
0,luar diaorg jela tahu okay hmm tak payah cerita diaorg agak haa aku complicated hahaha
0,haah aku beli tiket online aku atur print tiket pkul sbb tiket pkul tah masetu rama
1,terimakasih ayah ibu maaf aku aku sempat bahagia usaha
1,usah janjiin bintang bulan aku cukup janjiin kamu bakal selalu sama bawah cahaya
0,emang nun gigit kak aku nonton
-1,yakiin deh aku gabakalan menang bcs aku pandai rangkai kata2
0,hopefully lepas simpan dkt bank ada risiko anai2 moden pulak makan
0,maafin huhu hayuu atuh sini dateng wisuda aku besok hehe
1,bukan milik damping bukan cinta ingin cinta bukan ingin sendiri
0,klo aku the point wae oom
0,kenal yuk kak aku afa 03liner hehe
0,arti aku anak kapan kemarin lusa
1,omg merdu suara kawan
0,aku gak php kayak
-1,menang aku
0,belikan aku dong
0,block unblock aku
-1,aku dekat sini tengah hadap depression aku libat hampa sekarang takkantop kacau life aku siaa
0,aku tak tahu kat mana nak beli hahahaha aku tengok kdrama ishhh lah effect banyak sangat tengok dvd
-1,you guys call then kata salah masuk topup jangan percaya this one scammer try hard cari
-1,pujuk hati kecewa benar nya perlu kan masa hati kecewa rasa one really cares paling tida
0,apaqah kamu kembar nisa sabyan
1,baik
0,aku kirim psd filenya aja
1,siapa mau beli met bobo moga mimpi indah bangun2 segeremangat hari2nya aku mend
0,harini aku nganter nuyun sekolah betul ada dokter2 dtng buat ngasi vaksin rubella anak2 tsb
0,emang rencana kamu mau daftar kemanaa clifton opreg loh
0,mau aku follow aja yeri
1,apabila suatu hari jadi hal luar kita aku kamu percaya untuk aku selalu
-1,nuru aku malas doh keje
0,aku pas habis barang incar flash sale
-1,suka datang then suka hati nak blah kau jangan aku sedut kau pakai vacuum
0,viny jkt48 vin kawaei rina sama iriyama anna serang pakai gergaji pas handshake akb48 kemarin masa kamu gak say gws sih
0,wadu ntar aku nyabutin rumput rmh chenle dulu
0,aku
0,mungkin jiwa aku dgn jiwa hang lain
0,buat aku dong
1,semenjak aku kenal ngikutin jadi nambah ilmu ngikutin thread mere
1,bagus
-1,meski punya ponsel kadang tetap sepi lho aku rasa chan
0,aku bsa nya insyaallah senin kak
0,curheart kali dibantuin sama cek thread jawab sini
-1,kamu mesti aku
-1,kalau gambar parah aku tak tegur tetangga tegur dulu sulit mulai cakap
1,mata bunbun kamu gemas
1,hahahhaha tak fikir storyline nanti aku buat
0,jurus bhs jepang nder mutualan sama aku sini
0,aku memang tak tau orang makin asa pada makin dekat dia bahaya haibara
-1,dah aku dah bosan nak layan mati aku nak tidur bye
-1,jadi bagaimana kamu suka orang jangan tunjuk jadi orang prestasi usaha men
0,pacar aku situ wkwk baru inget
-1,mau pulang rumah jauh mau bolak balik nti aku capek
0,weh jadi malu rnr gambang aku salah masuk kereta bini orang tengah gendong anak
1,haha aku tak tau apa jadi
0,sbb aku tak syukur terus internet slow mmg suka ungkit kisah lama
0,turun cina lalu aku sadar jadi kucing lucu biar panggil orang meong
0,nak kurus sihat try keto diet bukan diet makan lgsg tau and you lose weight because youre eating
1,haha apa sih mak iya kan habis juga kamu nyusul halal kain apa mak kain lap haha
1,course course aku mmg aim awal and aku skrg alhamdulillah
-1,malam satu hari aku murung dengar lagu
0,kamu temen2 kamu kok sering banget sih dikata2in sama anon gatel lah apa dllabar semua org
1,kutat dengan skecap interior aku bahagia
0,moga kamu seperti teh manis manis awal
0,mac bukan betul sangat kalau convert jadi karang habis kerja aku
1,kamu tuh kadang suka ngeselin sering banget bikin aku kangen
0,iphone paling cika sekarang aku rilek dah 2018 still pakai iphone camera jahanam screen retak housing berlo
0,jangan terlalu anggap bakal bikin kamu neng bahagia dunia gabisa tinggal aja gaada abadi
-1,kita tak begini jangan malah makin jadi aku baik aku takut kamu malah makin rusak
0,lampau aih common sense mana kak oii tgh hari rembang mcm mana org buka lampu tirai bilik buka dah okay
0,selalu buat sendiri sedap
1,hahaha buat masa tak pernah lah salah masuk
0,kalian pada gak mau kaya gitu buat aja aku mau jadi crazyrichasians tahuuu
0,dulu bukak tumblr tengok cara orang organize study lepas tibe2 dean list
0,alah nak kurus ape tgok makan dangdut perut aku
0,open follbackyarat follow westhingy tweet reply done aku tunggu jam
0,aku nyautin doang
-1,aku rasa nak ubah haih
-1,aku rasa banyak kat sini bodoh kau pergi cut masuk hotel nak tangkap gambar bilik lah toilet lah fuck korang tak
0,beside you wattpad ayo gais mampir yuk lapak aku
-1,sana emang slow respon banget sih tau aku kudu sabar pis pernah blanja sana
0,ngiris tempe tok sek masak ora aku
1,haha aku nak buat ayat benar aku nak cakap siapa sanggup terima aku lura happy krohhhhhhh
0,balikla rumah sendiri cari kerja duduk rumah majikan keerabut bdh aku dhla adu mcm mcm kat mak aku
0,students uia lek aku tngk orang lebih
0,iyaa kalo niacimide buat kulit minyak jadi cocok aku
0,huaaa kapan yaa han nunggu rupiah kuat doraemon minjemin pintu kamu dsna apa kabar
0,angeline miss katae mama aku cuma dapet dikit sincia kemaren dapet berapa her juta katae menguc
-1,tiap orang butuh kambing hitam derita dia rasa bukankah sedih kamu mender
-1,aku rasa camera boleh nampak sekali dosa besar kau buat
0,beliin aku dong aku mau flamethrower buat siap zombie apocalypse
0,giveaway beauty diary apple follow aku retweet tweet hadiah tdk uang ongkir tanggung menang
0,aku jadi ikut baca
1,aku peka terus mana pernah aku gak peka wkwk
0,aku rasa first time laa kot aku beli tiket ets duit sendiri
0,sang kyai heran enggak masuk akal suatu entitas kata mahakuasaperkasa entah maha apa lag
0,mcm lah aku sentiasa belanja
-1,aku curiga sesuatu nct bazzi nct djkhaled nct chainsmoker iyain iya
-1,aku tuh gak diginiin lemes banget
1,maksdnya mba anna sholat jumat btw banget lah didoain aku mba
0,haiii kasih aku referensi parfume kalian suka brand nama terimakasih bulgari aquaa
1,mauuu aku bom punya album sama sekaliii baik lama maupun album baru
-1,sirih aja sama aku
0,read all the rplies perempuan perempuan sedang acah realitinya nak kaya hensem spend banyak masa orang
0,sape buat kawan aku gitu haih
1,bapak rajin bai aku balik pakai baju kurung moga crush lihat
0,polbek aku yass
0,kalau kau rasa lagu bobo mana annoying cuba kau dengar versi acoustic fingerstyle aku pulak
0,kamu masuk acara apahinta
-1,kadang aku tanya tanya apa salah dosa sayang cinta suci kau buang buang
0,nyata apa aku rumus guan eng ambil data awal tahun perintah mem
0,aku jenis dahulu orang aku sayang bahagia dulu lepastu baru aku bawa diri
0,terus jauh dari wkwkwk pantesan aku lame sekali orang nya
-1,1000gb sekali aku taknak beli
-1,aku benci betula nak start motor tak retiiiiiiiiii
0,bagus aku lebih suka sama cerita ximen sama xiaoyou sanca tomingse
0,udah aku aku bales
1,still effort hahaha aku mana org buat camni aku rasa special kit
-1,atas aku tak mampu
0,waktu aku msh brumur sktr 7th kel msh mngontrak rmh krn mlihat tmn pny main pswt aku
1,hahahaha aku rasa dorang tak tahu aku staff
-1,gatau aku jago bikin nick
0,aku doy lucas shopee maaf aja kalo misal mau
0,aku dah kali kan ada memang patut kena
-1,tbh aku keluar rumah pukul pagi then rumah dlm malam tiap hariebab jem and jauh
0,tuar aeon aku tengok
1,jawab kamu kan pernah ngambek sama aku
0,main single baru johnnytimsonprinkle dipotify kamu
-1,aku nyemangatin orang tapi gabisa nyemangatin diri sendiri
1,geram bhai aku tkpela dia menang hahahah
0,sekian lama affin bank aku tak fungsi akhir fungsi
-1,maaf kalo aku senyap story bukan aku munafik salah satu cara henti nikmat rasa kecewa
0,apresiasi diri sendiri penting loh toppers hari kamu laku self reward sederhana kaya makan
0,hai yoters mau tau tips jalan bisnis entrepreneur hebat indonesia yuk ikut seminar bisnis rumah
-1,yang paling aku takut dunia mati ngecewain gak bahagiain hilang
-1,srs aku tgk aduhhhh mcm sakit nye tuhan
1,hari aku ajar aku ajar harga orang hadir hidup tanpa tangguh
0,aku rmas gila dgn org ckp dlm kuliah tmbh2 cita psl pakwe errr aku pakwe lhhh
0,tadi kan pamit meeting nga bakal sempet pegang hape kok aku iseng telpon wasap kamu malah notif sedang pan
0,siapa nak swipe mate pro aku tak
